"X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","exx [1] - Lagrange","eyy [1] - Lagrange","exy [1] - Lagrange","e1 [1] - Lagrange","e2 [1] - Lagrange"
-4.241008758544922,31.720829010009766,-0.01986340619623661,0.044246576726436615,0.6094266176223755,-0.03044772520661354,-0.0015738178044557571,0.004584789276123047,-0.0005750023410655558,0.004638014826923609,-0.001627043355256319
-3.9880330562591553,31.723875045776367,-0.016428017988801003,0.043869439512491226,0.6091441512107849,-0.031039252877235413,-0.0016339883441105485,0.004623493645340204,-0.0005463572451844811,0.004670839291065931,-0.0016813338734209538
-3.735196113586426,31.727052688598633,-0.01213766261935234,0.04340466484427452,0.6089615821838379,-0.0314231738448143,-0.0017132977955043316,0.004673785995692015,-0.0005233775009401143,0.0047163888812065125,-0.001755900913849473
-3.4821865558624268,31.730310440063477,-0.00844727735966444,0.04286128655076027,0.6088792085647583,-0.03124263510107994,-0.0017881927778944373,0.004732996225357056,-0.0005165781476534903,0.004773663356900215,-0.0018288600258529186
-3.2288670539855957,31.73348617553711,-0.005991025827825069,0.04234375059604645,0.6088061928749084,-0.030657721683382988,-0.0018377493834123015,0.00479979207739234,-0.0005190370720811188,0.004840134177356958,-0.001878091599792242
-2.9750657081604004,31.736492156982422,-0.005559433251619339,0.04193180054426193,0.6086838245391846,-0.03037549927830696,-0.001861462602391839,0.0048761446960270405,-0.0005178025458008051,0.004915706813335419,-0.001901024836115539
-2.7206246852874756,31.739410400390625,-0.007865696214139462,0.04158063605427742,0.608556866645813,-0.030418526381254196,-0.0018715031910687685,0.004963074345141649,-0.0005105656455270946,0.005001004785299301,-0.0019094337476417422
-2.4655675888061523,31.74235725402832,-0.012785038910806179,0.04114563763141632,0.6085194945335388,-0.030597146600484848,-0.0018739409279078245,0.005055107641965151,-0.0005033910856582224,0.005091487430036068,-0.0019103208323940635
-2.210014581680298,31.74534797668457,-0.01974482461810112,0.04051154479384422,0.6085648536682129,-0.03065791353583336,-0.001863900339230895,0.005145251285284758,-0.0004938214551657438,0.005179871805012226,-0.0018985207425430417
-1.9544949531555176,31.748397827148438,-0.026302237063646317,0.039733193814754486,0.6085733771324158,-0.03050602599978447,-0.0018292261520400643,0.005231885705143213,-0.00047431685379706323,0.00526360422372818,-0.0018609447870403528
-1.6995497941970825,31.75153923034668,-0.029976466670632362,0.0391043983399868,0.6084577441215515,-0.03007424995303154,-0.001771481242030859,0.005309048108756542,-0.00044292749953456223,0.005336647853255272,-0.0017990812193602324
-1.445482850074768,31.75481605529785,-0.02939535677433014,0.03872678801417351,0.6083598136901855,-0.029555952176451683,-0.0017133415676653385,0.005368602462112904,-0.00039895635563880205,0.0053910063579678535,-0.0017357456963509321
-1.1921048164367676,31.757999420166016,-0.025451626628637314,0.038481518626213074,0.60838782787323,-0.0294101033359766,-0.0016743652522563934,0.005404893308877945,-0.00034075675648637116,0.0054212575778365135,-0.001690729521214962
-0.9386977553367615,31.760971069335938,-0.021437468007206917,0.03819277137517929,0.6084179282188416,-0.029750211164355278,-0.0016549814026802778,0.005419721361249685,-0.0002701234770938754,0.005430019926279783,-0.0016652800841256976
-0.6847304105758667,31.763965606689453,-0.01976691372692585,0.037805888801813126,0.6082708835601807,-0.030060257762670517,-0.0016465926310047507,0.005415600258857012,-0.00019461133342701942,0.005420958623290062,-0.0016519513446837664
-0.4302116930484772,31.76711082458496,-0.020383598282933235,0.03738214448094368,0.6080324053764343,-0.029932716861367226,-0.001643157098442316,0.005394102074205875,-0.00011844788969028741,0.0053960951045155525,-0.0016451501287519932
-0.1755611002445221,31.770292282104492,-0.021374426782131195,0.037005845457315445,0.6079305410385132,-0.029593627899885178,-0.0016457519959658384,0.005361970979720354,-4.028725379612297e-05,0.005362202413380146,-0.0016459835460409522
0.07904727011919022,31.773426055908203,-0.021950360387563705,0.036723315715789795,0.6079928874969482,-0.02940685674548149,-0.0016646855510771275,0.0053282505832612514,4.1693620005389675e-05,0.0053284987807273865,-0.0016649339813739061
0.3335059881210327,31.776626586914062,-0.021628281101584435,0.03643815219402313,0.6080872416496277,-0.029526405036449432,-0.0017035652417689562,0.0052968221716582775,0.00011887782602570951,0.005298840347677469,-0.0017055835342034698
0.5876020789146423,31.779878616333008,-0.01945485919713974,0.03600723296403885,0.6081321835517883,-0.029821405187249184,-0.00175107317045331,0.005263321567326784,0.0001801156613510102,0.0052679432556033134,-0.001755695091560483
0.8414543271064758,31.783178329467773,-0.015974894165992737,0.03544097766280174,0.6081754565238953,-0.030061831697821617,-0.001793021452613175,0.005227488465607166,0.00022820592857897282,0.005234898533672094,-0.0018004314042627811
1.0954596996307373,31.786575317382812,-0.012974496930837631,0.03483925014734268,0.6082325577735901,-0.03017258644104004,-0.001821656245738268,0.005190660245716572,0.00027369207236915827,0.005201326217502356,-0.0018323222175240517
1.350014328956604,31.789962768554688,-0.01222269982099533,0.03425285592675209,0.6082801818847656,-0.030329100787639618,-0.001832602429203689,0.005156346131116152,0.0003186993417330086,0.005170849151909351,-0.0018471053335815668
1.60515296459198,31.793134689331055,-0.013862436637282372,0.03371012210845947,0.6083332300186157,-0.030589502304792404,-0.0018228170229122043,0.0051220073364675045,0.0003565418883226812,0.005140263587236404,-0.0018410736229270697
1.8606511354446411,31.796144485473633,-0.016878759488463402,0.03325787931680679,0.6084169149398804,-0.030876683071255684,-0.001797945937141776,0.005078033544123173,0.00038544615381397307,0.0050995731726288795,-0.001819485449232161
