X,Y,u (mm) @ t=0,v (mm) @ t=0,w (mm) @ t=0,t (s) @ t=0,u (mm) @ t=0.1,v (mm) @ t=0.1,w (mm) @ t=0.1,t (s) @ t=0.1,u (mm) @ t=0.2,v (mm) @ t=0.2,w (mm) @ t=0.2,t (s) @ t=0.2,u (mm) @ t=0.3,v (mm) @ t=0.3,w (mm) @ t=0.3,t (s) @ t=0.3,u (mm) @ t=0.4,v (mm) @ t=0.4,w (mm) @ t=0.4,t (s) @ t=0.4,u (mm) @ t=0.5,v (mm) @ t=0.5,w (mm) @ t=0.5,t (s) @ t=0.5,u (mm) @ t=0.6,v (mm) @ t=0.6,w (mm) @ t=0.6,t (s) @ t=0.6,u (mm) @ t=0.7,v (mm) @ t=0.7,w (mm) @ t=0.7,t (s) @ t=0.7,u (mm) @ t=0.8,v (mm) @ t=0.8,w (mm) @ t=0.8,t (s) @ t=0.8,u (mm) @ t=0.9,v (mm) @ t=0.9,w (mm) @ t=0.9,t (s) @ t=0.9,u (mm) @ t=1,v (mm) @ t=1,w (mm) @ t=1,t (s) @ t=1
0.6,-9.25,-4.43E-10,1.13E-09,0,0,-4.24E-05,1.08E-04,0,0.1,-8.47E-05,2.16E-04,0,0.2,-1.27E-04,3.23E-04,0,0.3,-1.69E-04,4.31E-04,0,0.4,-2.12E-04,5.39E-04,0,0.5,-2.54E-04,6.47E-04,0,0.6,-2.97E-04,7.54E-04,0,0.7,-3.39E-04,8.62E-04,0,0.8,-3.81E-04,9.70E-04,0,0.9,-4.24E-04,0.001077644,0,1
1,-10,0,0,0,0,0,0,0,0.1,0,0,0,0.2,0,0,0,0.3,0,0,0,0.4,0,0,0,0.5,0,0,0,0.6,0,0,0,0.7,0,0,0,0.8,0,0,0,0.9,0,0,0,1
1,-9.625,-5.71E-10,6.96E-10,0,0,-5.46E-05,6.64E-05,0,0.1,-1.09E-04,1.33E-04,0,0.2,-1.64E-04,1.99E-04,0,0.3,-2.18E-04,2.65E-04,0,0.4,-2.73E-04,3.32E-04,0,0.5,-3.28E-04,3.98E-04,0,0.6,-3.82E-04,4.65E-04,0,0.7,-4.37E-04,5.31E-04,0,0.8,-4.92E-04,5.97E-04,0,0.9,-5.46E-04,6.64E-04,0,1
-1,-7.75,8.89E-10,3.67E-09,0,0,8.16E-05,3.45E-04,0,0.1,1.63E-04,6.89E-04,0,0.2,2.45E-04,0.001034186,0,0.3,3.27E-04,0.001378914,0,0.4,4.08E-04,0.001723643,0,0.5,4.90E-04,0.002068371,0,0.6,5.72E-04,0.0024131,0,0.7,6.53E-04,0.002757828,0,0.8,7.35E-04,0.003102557,0,0.9,8.16E-04,0.003447286,0,1
-0.6,-7.75,5.52E-10,3.66E-09,0,0,5.08E-05,3.44E-04,0,0.1,1.02E-04,6.89E-04,0,0.2,1.52E-04,0.001032861,0,0.3,2.03E-04,0.001377147,0,0.4,2.54E-04,0.001721434,0,0.5,3.05E-04,0.002065721,0,0.6,3.55E-04,0.002410008,0,0.7,4.06E-04,0.002754295,0,0.8,4.57E-04,0.003098582,0,0.9,5.08E-04,0.003442869,0,1
-0.2,-8.125,1.78E-10,3.00E-09,0,0,1.66E-05,2.85E-04,0,0.1,3.32E-05,5.69E-04,0,0.2,4.98E-05,8.54E-04,0,0.3,6.64E-05,0.001138186,0,0.4,8.30E-05,0.001422733,0,0.5,9.96E-05,0.001707279,0,0.6,1.16E-04,0.001991826,0,0.7,1.33E-04,0.002276372,0,0.8,1.49E-04,0.002560919,0,0.9,1.66E-04,0.002845465,0,1
0.2,-8.5,-1.72E-10,2.36E-09,0,0,-1.63E-05,2.24E-04,0,0.1,-3.26E-05,4.48E-04,0,0.2,-4.89E-05,6.72E-04,0,0.3,-6.52E-05,8.96E-04,0,0.4,-8.16E-05,0.001119678,0,0.5,-9.79E-05,0.001343614,0,0.6,-1.14E-04,0.00156755,0,0.7,-1.30E-04,0.001791485,0,0.8,-1.47E-04,0.002015421,0,0.9,-1.63E-04,0.002239357,0,1
0.6,-8.875,-4.96E-10,1.76E-09,0,0,-4.73E-05,1.67E-04,0,0.1,-9.45E-05,3.34E-04,0,0.2,-1.42E-04,5.01E-04,0,0.3,-1.89E-04,6.68E-04,0,0.4,-2.36E-04,8.35E-04,0,0.5,-2.84E-04,0.001002326,0,0.6,-3.31E-04,0.00116938,0,0.7,-3.78E-04,0.001336435,0,0.8,-4.25E-04,0.001503489,0,0.9,-4.73E-04,0.001670544,0,1
1,-9.25,-7.49E-10,1.24E-09,0,0,-7.16E-05,1.18E-04,0,0.1,-1.43E-04,2.36E-04,0,0.2,-2.15E-04,3.55E-04,0,0.3,-2.86E-04,4.73E-04,0,0.4,-3.58E-04,5.91E-04,0,0.5,-4.29E-04,7.09E-04,0,0.6,-5.01E-04,8.28E-04,0,0.7,-5.72E-04,9.46E-04,0,0.8,-6.44E-04,0.001064066,0,0.9,-7.16E-04,0.001182296,0,1
-1,-7.375,9.43E-10,4.30E-09,0,0,8.52E-05,4.01E-04,0,0.1,1.70E-04,8.03E-04,0,0.2,2.55E-04,0.001203912,0,0.3,3.41E-04,0.001605216,0,0.4,4.26E-04,0.00200652,0,0.5,5.11E-04,0.002407824,0,0.6,5.96E-04,0.002809128,0,0.7,6.81E-04,0.003210432,0,0.8,7.66E-04,0.003611736,0,0.9,8.52E-04,0.00401304,0,1
